Job Title,Company,Location,year,Package
"SOFTWARE ARCHITECT / IT ARCHITECT / TECH ARCHITECT
sponsored",Promax Legal Solution Private Limited,"Delhi, Mohali",4-5 Years,Not Specified
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 8077828639 | 7303778896,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",0-4 Years,Not Specified
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",3-5 Years,Not Specified
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",1-5 Years,Not Specified
Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",8-13 Years,Not Specified
Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",4-8 Years,Not Specified
Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Ghaziabad",6-12 Years,Not Specified
Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",5-15 Years,Not Specified
Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,"Delhi, Ghaziabad",2-4 Years,Not Specified
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147 | 6397800351,Structured Learning Assistance Consultants India Private Limited,"Delhi, Gurgaon / Gurugram",5-8 Years,Not Specified
Data Analyst – Fresher – Data Scientist – Any Graduate - Fresher 6397800351 | 9717266846,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",2-6 Years,Not Specified
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147 | 6397800351,Structured Learning Assistance Consultants India Private Limited,"Delhi, Noida",1-5 Years,Not Specified
PART TIME WORK@Home DATA Entry/Home Based WORK/Typing JOB,Company Name Confidential,"Chennai, Delhi",1-4 Years,"3,00,000-8,00,000 INR"
