Product_name,price,rating
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","16,499","125,282"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,999","9,094"
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","5,999","7,722"
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","13,999","84,433"
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999","28,720"
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)","16,499","125,282"
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,499","8,787"
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","11,999","24,172"
"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage)","6,999","11,268"
"Redmi 9A (Midnight Black, 3GB Ram, 32GB Storage)","7,499","11,268"
